CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,TenureByAge
641,0,0,33,2,146193.6,2,1,1,55796.83,1,0.06060606060606061
541,0,0,39,7,0.0,2,1,0,19823.02,0,0.1794871794871795
590,0,1,76,5,160979.68,1,0,1,13848.58,0,0.06578947368421052
516,1,0,50,5,0.0,1,0,1,146145.93,1,0.1
508,0,1,60,7,143262.04,1,1,1,129562.74,0,0.11666666666666667
511,0,0,58,0,149117.31,1,1,1,162599.51,0,0.0
518,0,0,40,4,0.0,2,0,1,194416.58,0,0.1
569,0,0,66,2,0.0,1,1,0,130784.2,1,0.030303030303030304
600,2,1,58,8,118723.11,1,0,0,6209.51,1,0.13793103448275862
557,0,1,32,3,123502.53,1,1,1,69826.8,0,0.09375
488,0,1,31,8,97588.6,1,0,0,124210.53,0,0.25806451612903225
768,0,1,36,5,180169.44,2,1,0,17348.56,0,0.1388888888888889
683,0,1,29,9,0.0,2,1,1,48849.89,0,0.3103448275862069
730,0,1,34,5,74197.38,2,1,0,96875.52,0,0.14705882352941177
822,0,0,32,8,116358.0,1,1,0,108798.36,0,0.25
673,0,0,59,0,178058.06,2,0,1,21063.71,1,0.0
637,0,1,33,9,113913.53,1,0,1,65316.5,0,0.2727272727272727
850,0,1,47,9,137301.87,1,1,0,44351.77,0,0.19148936170212766
850,2,0,32,3,137714.25,1,0,1,159403.68,0,0.09375
656,0,0,33,7,138705.02,2,1,0,37136.15,0,0.21212121212121213
689,2,0,33,2,161814.64,2,1,0,169381.9,0,0.06060606060606061
706,1,1,53,3,0.0,3,0,0,88479.02,1,0.05660377358490566
599,1,0,35,6,137102.65,1,0,0,76870.81,0,0.17142857142857143
537,0,0,38,3,0.0,2,0,0,141023.01,0,0.07894736842105263
617,1,1,45,1,0.0,1,1,0,143298.06,0,0.022222222222222223
434,0,0,41,4,108128.52,1,0,1,56784.11,0,0.0975609756097561
682,1,1,50,10,128039.01,1,1,1,102260.16,0,0.2
794,1,0,38,9,179581.31,1,1,0,23596.24,0,0.23684210526315788
652,0,1,74,5,0.0,2,1,1,937.15,0,0.06756756756756757
755,2,1,45,7,135643.0,1,0,0,143619.52,1,0.15555555555555556
813,2,1,25,5,123616.43,1,0,1,132959.33,0,0.2
572,0,0,33,9,68193.72,1,1,0,19998.31,0,0.2727272727272727
770,0,1,33,4,0.0,1,1,0,26080.54,1,0.12121212121212122
678,1,0,27,2,0.0,2,1,1,13221.25,0,0.07407407407407407
713,0,1,59,3,0.0,2,1,1,62700.08,0,0.05084745762711865
822,0,0,50,7,0.0,2,1,1,10062.8,0,0.14
