Balance,Geography
0.0,France
83807.86,Spain
159660.8,France
0.0,France
125510.82,Spain
113755.78,Spain
0.0,France
115046.74,Germany
142051.07,France
134603.88,France
102016.72,France
0.0,Spain
0.0,France
0.0,France
0.0,Spain
143129.41,Germany
132602.88,Germany
0.0,Spain
0.0,Spain
0.0,France
0.0,France
0.0,Spain
0.0,Spain
0.0,France
0.0,France
0.0,France
136815.64,Germany
0.0,France
141349.43,Germany
59697.17,France
0.0,Spain
85311.7,France
110112.54,Germany
0.0,Spain
0.0,Spain
134264.04,France
145260.23,Spain
76548.6,Spain
0.0,France
70349.48,Germany
0.0,Spain
122522.32,France
117419.35,France
131394.56,France
155931.11,Spain
109421.13,Germany
112045.67,Germany
137843.8,Germany
103391.38,Germany
103769.22,Germany
116363.37,Germany
146050.97,Germany
0.0,France
125561.97,Germany
98495.72,Germany
125211.92,France
127864.4,France
75888.2,Germany
0.0,Spain
40685.92,France
136857.0,Germany
152328.88,Germany
56084.69,Spain
78707.16,Spain
109166.37,Germany
169831.46,Germany
101633.04,Germany
123180.01,Germany
150725.53,Germany
98373.26,France
133745.44,Germany
0.0,France
163607.18,Spain
157780.84,Germany
0.0,France
178718.19,France
0.0,France
0.0,France
77253.22,Spain
122189.66,Germany
96645.54,France
0.0,France
0.0,France
90307.62,France
0.0,France
0.0,Spain
121681.82,Spain
0.0,France
0.0,France
81623.67,Germany
0.0,Spain
118626.55,France
0.0,France
0.0,France
0.0,Spain
176273.95,Spain
102827.44,Spain
97086.4,Germany
0.0,Spain
0.0,France
0.0,France
0.0,France
82674.15,France
0.0,Spain
0.0,Spain
107073.27,Spain
88938.62,Germany
99806.85,Germany
150092.8,Spain
92833.89,Germany
90536.81,Germany
108055.1,Germany
100238.35,France
106190.55,Spain
154475.54,Germany
132351.29,Germany
167864.4,Germany
0.0,France
107818.63,Germany
185173.81,Germany
129433.34,France
120193.42,Spain
0.0,France
126384.42,Germany
0.0,France
152603.45,France
0.0,France
148507.24,Germany
0.0,France
101827.07,France
0.0,France
130862.43,Germany
122570.87,France
0.0,France
124828.46,Germany
144895.05,Germany
63663.93,Germany
133463.1,France
213146.2,Spain
129490.36,Spain
137452.09,Germany
0.0,France
125851.93,France
0.0,Spain
40915.55,France
113157.22,Spain
138296.94,Spain
106967.18,France
120681.63,France
0.0,France
0.0,Spain
0.0,France
0.0,Spain
127609.59,France
0.0,France
0.0,Spain
0.0,France
0.0,Spain
97259.25,France
123246.7,Germany
101060.25,Spain
0.0,France
108007.36,France
0.0,Spain
133702.89,Spain
125189.75,Germany
113034.22,Germany
109013.23,Spain
0.0,Spain
57929.81,Germany
130114.39,France
95826.49,Germany
129608.57,Germany
169462.09,France
0.0,France
133868.21,Spain
0.0,France
190479.48,Germany
101993.12,Spain
161608.81,Germany
122311.21,Spain
0.0,France
162150.42,Germany
0.0,France
0.0,France
0.0,France
99010.67,France
0.0,Spain
0.0,Spain
111388.18,Germany
56214.85,France
84327.77,France
0.0,France
93012.89,France
61710.44,Spain
174790.15,France
0.0,Spain
107720.64,Germany
0.0,France
96423.84,France
141040.01,Spain
105420.18,France
0.0,Spain
129022.06,France
176666.62,Spain
0.0,France
89763.84,Spain
134954.53,France
0.0,France
106376.85,France
161814.64,Germany
0.0,France
0.0,France
63095.01,France
118287.01,Germany
106854.21,Germany
49512.55,France
0.0,Spain
105799.32,France
0.0,France
114722.05,France
0.0,Spain
0.0,France
0.0,France
99564.22,Germany
170557.91,France
0.0,France
74596.15,Germany
